2022-01-12T16:00:00.000Z
000282 175 60 13 HORIZON HH306 - 77T 251,43 PROMOÇÃO
000290 175 75 13 ROADKING RADIAL 109 - 85T 298,13 PROMOÇÃO
000061 165 60 14 TRIANGLE TE 301 - 75H 296,35
000285 165 60 14 TRIANGLE TR 928 - 75H 296,35
000094 165 60 14 XBRI ECOLOGY - 75H 297,94
000235 175 70 14C TRIANGLE TR 928 - 95/93S 367,33
000342 175 70 14 TRIANGLE TR928 360,97
000275 175 75 14 LINGLONG CROSSWIND A/T - 86T 339,69 PROMOÇÃO
000095 175 75 14 XBRI FORZA A/T 2 - 86T 363,17
000291 175 75 14 ROADKING ROADKING RADIAL 109 - 87T 324,85
000066 175 80 14 GOODRIDE SL389 A/T - 88T 400,02
000054 185 R 14C TRIANGLE CARGA TR 645 - 102R 8PR 467,01
000184 185 60 14 XBRI ECOLOGY - 82H 328,50
000062 185 60 14 TRIANGLE TE 301 - 82H 282,40 PROMOÇÃO
000078 195 R 14C XBRI CARGOPLUS - 8PR - 106/104R 565,33
000185 195 70 14 XBRI ECOLOGY - 91H 380,34
000063 175 65 15 TRIANGLE TE301 - 84H 320,20
000186 185 55 15 XBRI ECOLOGY - 82V 326,67
000047 185 55 15 TRIANGLE TC 101 - 82V 320,20
000046 185 60 15 TRIANGLE TC 101 - 88H 323,96
000203 185 60 15 TRIANGLE TE 301 - 88H 342,80
000096 185 60 15 XBRI ECOLOGY EXTRA LOAD 359,29
000044 185 65 15 TRIANGLE TC101 - 88H 327,73
000204 185 65 15 TRIANGLE TE 301 - 88H 346,57
000286 195 50 15 TRIANGLE TC 101 - 86V 350,71
000205 195 55 15 TRIANGLE TE 301 - 85V 329,78 PROMOÇÃO
000089 195 60 15 XBRI ECOLOGY - 88H 365,71
000043 195 60 15 TRIANGLE TC 101 - 88V 343,75
000206 195 60 15 TRIANGLE TE301 - 88V 362,58
000228 195 65 15 TRIANGLE TE 301 - 95V 452,42
000090 195 65 15 XBRI ECOLOGY - 91H 374,95
000053 195 70 15C TRIANGLE CARGA TR645 - 102R 8PR 529,22
000303 205 60 15 ROADKING RADIAL F109 - 91V 431,29
000226 205 60 15 TRIANGLE TC101 - 95V 472,95
000067 205 65 15 GOODRIDE SL369 A/T - 94H 466,76
000045 205 65 15 TRIANGLE TR978 - 94H 442,63
000092 205 65 15 XBRI FORZA A/T 2 -94H 461,21
000060 205 70 15C TRIANGLE CARGA - TR 652 8PR - 106/104R 618,11
000287 205 70 15 ADERENZA OPENLAND A/T D2 472,24
000283 205 70 15 HORIZON HR701 A/T- 96T 460,82 PROMOÇÃO
000099 205 70 15 XBRI FORZA A/T 2 - 96H 467,77
000301 235 75 15 ROADKING ARGOS A/T 01 - 109T XL 604,47
000072 235 75 15 XBRI FORZA H/T - 105T 647,15
000073 31 10,5 15 XBRI FORZA A/T 2 - 109S 824,93
000188 185 55 16 XBRI FASTWAY - 83V 381,85
000307 195 45 16 TRIANGLE TH 201 - 84W 435,15
000059 195 60 16 TRIANGLE TR 978 - 89H 400,32
000296 195 60 16 ROADKING ARGOS HP - 89H 407,98
000277 205 55 16 TRIANGLE TE 301 - 94V 394,33
000284 205 55 16 TRIANGLE TH 201 - 91V 394,33
000100 205 55 16 XBRI ECOLOGY - 91V 357,96 PROMOÇÃO
000102 205 60 16 XBRI ECOLOGY - 92V 400,35
000236 205 75 16C TRIANGLE TR 652- 8PR 110/108BR 608,65
000304 205 75 16C ROADKING TRANSPORTER RF09 110/108R 631,36
000103 215 55 16 XBRI ECOLOGY - 93V 471,36
000050 215 65 16 TRIANGLE TR257 - 98T 502,68
000252 215 65 16 TRIANGLE TC 101 - 102H 502,68
000293 215 70 16 ROADKING ARGOS H/T - 100H 581,89
000055 225 65 16C TRIANGLE CARGA TR 652 - 112/110R 8PR 655,01
000195 225 70 16 XBRI XBRI FORZA A/T 2 - 103T 593,01
000079 225 75 16C XBRI CARGOPLUS 2 10PR - 121/120R 691,47
